2023-05-19 11:23:31 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 11:23:31
2023-05-19 11:23:31 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 11:36:13 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 11:36:13
2023-05-19 11:36:13 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 11:36:58 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 11:36:58
2023-05-19 11:36:58 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 12:21:15 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 12:21:15
2023-05-19 12:21:15 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 12:22:00 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 12:22:00
2023-05-19 12:22:00 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 12:22:33 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 12:22:33
2023-05-19 12:22:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 12:22:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.14s)
2023-05-19 12:22:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-19 12:22:55 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (21.99s)
2023-05-19 12:22:55 | DEBUG   | module.helpers.otimize |    optimize_epso     |   56 | Running Optimization with EPSO solution ...
2023-05-19 13:56:15 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 13:56:15
2023-05-19 13:56:15 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 13:56:16 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.08s)
2023-05-19 13:56:16 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-19 13:56:29 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (13.68s)
2023-05-19 14:04:43 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 14:04:43
2023-05-19 14:04:43 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 17:13:03 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 17:13:03
2023-05-19 17:13:03 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 17:14:19 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 17:14:19
2023-05-19 17:14:19 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 17:15:45 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 17:15:45
2023-05-19 17:15:45 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 17:22:50 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 17:22:50
2023-05-19 17:22:50 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 17:24:15 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 17:24:15
2023-05-19 17:24:15 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 18:09:47 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 18:09:47
2023-05-19 18:09:47 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 18:10:48 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 18:10:48
2023-05-19 18:10:48 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 18:10:48 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.09s)
2023-05-19 18:10:48 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-19 18:11:00 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (11.97s)
2023-05-19 18:32:43 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 18:32:43
2023-05-19 18:32:43 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 18:33:27 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 18:33:27
2023-05-19 18:33:27 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 16:59:13 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 16:59:13
2023-05-21 16:59:13 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
